slope1,slope2,slope3,t1,t2,t3,std_dev,sample_entropy,label
0.723864,-2.231915,1.494964,49,214,183,22.030795,0.658983,1
1.453755,-3.893985,1.843271,103,85,56,33.670862,1.757219,1
0.189927,0.300896,0.218801,52,131,127,19.249553,0.046736,0
2.160316,-0.308617,0.3618,80,134,138,9.963125,0.124374,0
0.743809,-1.652909,0.864461,116,35,42,16.544633,1.573172,1
1.244153,-4.265667,0.565576,93,102,56,24.710417,1.512097,1
0.1956,-2.530572,0.1769,223,150,32,12.651394,0.153043,1
1.632908,-1.367561,1.414226,147,106,127,31.292063,1.624419,1
0.24026,-0.199073,0.564594,128,48,108,5.585186,0.111312,0
1.41318,-0.282636,0.906047,234,29,210,12.125381,0.691096,0
1.881125,-5.498673,0.593278,51,130,49,38.042657,0.140722,1
0.427961,-14.764643,0.59778,142,184,24,26.798073,1.768229,0
1.191703,-4.468886,0.302631,114,148,47,28.158951,0.630114,1
1.555213,-5.572846,0.741387,110,103,72,39.327455,0.38095,1
2.113055,-2.41492,0.203937,15,216,24,15.018676,0.093483,0
0.604205,1.030328,0.124264,67,236,148,24.229844,0.617858,1
0.712689,-3.019549,1.093526,199,104,64,30.874668,1.639476,1
0.07917,0.272344,0.143714,183,119,163,8.090611,2.154858,0
1.260429,-4.842702,0.257789,92,121,45,26.486094,0.316474,1
0.470918,-0.657094,0.640408,103,72,56,12.100785,2.09229,0
0.599347,-4.195426,0.847611,152,87,22,21.799414,1.626435,1
18.815944,75.263776,0.359799,3,293,2,26.726116,1.84107,0
0.39032,-6.293915,0.385283,137,240,14,18.318468,1.185758,1
0.230297,0.47414,0.29424,90,91,164,22.891124,0.648819,1
1.078174,-2.695434,1.295556,147,77,50,33.086067,1.585627,1
1.395717,-3.788374,0.092483,78,152,35,23.312629,0.035153,1
0.423034,1.146285,0.251681,53,121,77,14.316345,1.883875,0
0.822098,-3.425407,0.594175,62,98,31,16.456062,2.383811,0
1.606698,-3.35946,0.144238,68,185,43,21.028034,0.048618,1
0.859757,-1.764764,0.322301,116,93,71,18.966834,0.145015,1
0.5496,58.807252,0.383974,106,248,2,19.814417,1.808109,0
1.740703,-6.285873,0.576312,83,117,30,31.494157,1.655665,1
0.53634,-0.321804,0.230761,120,120,117,7.168577,0.940223,0
2.699292,-0.354452,0.443469,112,99,154,11.610193,0.872388,0
0.673308,-2.34194,0.693379,103,48,41,17.219763,0.368775,1
1.140998,-9.372483,2.139056,129,128,95,39.800017,1.976288,1
