slope1,slope2,slope3,t1,t2,t3,std_dev,sample_entropy,label
0.287347,0.946555,0.232222,195,89,274,36.177750,0.371982,1
0.179975,0.253513,0.101344,38,151,120,10.939660,0.105809,0
0.023960,0.131780,0.094696,198,56,147,5.218470,0.248154,0
1.316758,-3.365048,0.202331,96,78,46,28.410925,0.072805,1
1.516373,-4.115869,0.587278,26,225,180,12.855529,0.852342,1
1.545824,-2.451996,2.916646,75,85,88,24.090460,1.443157,1
0.586059,2.826874,0.101771,65,175,21,11.375328,0.667209,0
2.862494,-0.343499,0.354202,140,153,184,16.578803,0.874870,1
2.700644,-0.145981,1.440251,156,59,187,13.213113,0.150589,1
1.704317,-0.541371,1.976185,224,28,172,26.210489,1.107016,1
0.731738,1.934764,0.318852,97,114,101,39.857504,0.089113,1
0.189927,0.300896,0.218801,52,131,127,19.249553,0.046736,0
0.537004,-1.974278,1.901193,159,80,96,22.464788,0.481311,1
0.319445,2.092367,0.213357,111,260,78,19.081934,1.887538,0
0.101110,5.156630,0.086355,200,54,194,9.532611,0.774977,0
0.425671,-0.815870,1.221559,175,20,69,17.832181,0.132013,1
1.230896,-2.017302,0.397263,95,137,94,26.033751,0.490103,1
0.209307,-0.200586,0.173994,47,256,209,4.586967,0.294947,0
1.285705,-4.714251,0.263472,112,101,37,36.051354,0.082991,1
1.236381,-4.307391,6.413775,139,62,82,50.943853,0.102265,1
0.536340,-0.321804,0.230761,120,120,117,7.168577,0.940223,0
1.920450,-0.776352,1.260482,132,54,96,23.598632,1.509908,1
0.548834,-1.800177,0.379527,214,245,65,33.293290,0.686932,1
0.461862,-2.009100,1.354544,107,76,54,17.333087,1.802570,0
1.140998,-9.372483,2.139056,129,128,95,39.800017,1.976288,1
0.955798,-3.265643,1.552489,106,66,80,23.650255,0.065504,1
1.593440,-2.941736,0.391660,74,119,62,23.105753,0.361013,1
0.154716,-0.103989,0.075557,102,175,111,4.807519,0.178242,0
0.872826,-2.551338,0.391194,153,136,65,27.999840,0.545871,1
3.955513,-2.756872,7.814421,56,148,176,32.843734,0.197873,1
0.158461,0.217884,0.031219,21,197,68,4.140565,0.266733,0
0.691891,-1.923795,0.211219,155,134,56,24.164409,0.094698,1
1.097749,-5.802386,6.199245,132,80,93,36.716677,0.386975,1
0.202617,0.921707,0.672337,181,96,66,18.360815,2.187516,0
0.479950,56.154145,0.433270,116,159,2,21.660412,1.988542,0
1.771237,-3.613323,0.520320,76,110,74,31.368637,0.208941,1
1.020891,-5.921166,0.514767,102,102,37,27.584585,0.286170,1
0.807268,-0.219058,6.888380,253,101,296,14.672098,0.777481,0
0.159345,6.652657,0.073841,163,89,167,10.142742,0.851829,0
0.723864,-2.231915,1.494964,49,214,183,22.030795,0.658983,1
0.911640,-2.559603,0.326678,99,63,31,20.435741,0.458044,1
0.225029,5.462058,1.339071,256,31,27,27.459424,0.089182,1
0.790334,-11.953797,1.339254,129,105,25,30.477819,1.935001,1
0.385889,1.094665,0.137479,180,199,267,29.305028,0.492208,1
0.076866,1.268288,0.265181,186,22,81,9.449235,0.139005,0
0.041356,0.440318,0.178239,328,44,83,6.336384,0.213618,0
0.285699,1.047561,0.249683,104,79,120,20.264131,0.638461,0
0.302291,-0.730537,0.834306,205,19,69,15.838912,0.110769,1
0.648200,-1.651075,0.498911,188,155,90,33.735036,0.519559,1
0.384658,1.320078,0.279084,107,122,139,18.517297,1.906399,0
0.832524,2.251908,0.871541,104,61,156,53.261770,1.292939,1
0.326250,-0.428204,0.262715,111,107,69,8.763467,0.864466,0
1.167281,-5.624173,36.312566,128,73,92,59.163052,0.370647,1
0.478140,-1.267072,0.301094,219,240,74,28.964676,0.066025,1
0.878478,3.475717,0.063881,68,191,79,22.378361,0.081463,1
1.430259,2.860519,0.136291,19,167,38,17.857865,0.612436,1
1.089346,-0.418133,0.682937,137,142,135,19.940590,1.733092,0
0.427234,-6.961395,2.149847,294,85,64,27.862850,1.672069,1
5.402856,-0.366295,2.291216,63,205,255,8.205851,0.849553,0
0.144069,0.386852,0.126890,182,129,280,19.604809,0.616335,0
1.469613,-0.859880,0.349779,149,81,100,26.787725,0.312048,1
1.437236,-2.874471,0.073910,75,176,42,17.756418,0.112381,1
0.585920,-3.456928,0.278991,138,120,47,22.244620,0.069205,1
2.113055,-2.414920,0.203937,15,216,24,15.018676,0.093483,0
0.913165,-0.888032,1.848651,215,36,110,26.100528,1.419710,1
1.283099,-3.207748,51.495057,147,54,94,42.735796,1.802809,1
3.223871,-0.375597,1.748070,115,100,174,22.544197,0.693147,1
1.356717,-3.316420,0.579628,93,81,61,29.525181,0.250974,1
1.175168,-3.063831,0.270066,101,99,103,22.684715,0.057796,1
1.244153,-4.265667,0.565576,93,102,56,24.710417,1.512097,1
0.292747,-0.084742,0.126750,147,132,134,6.714038,0.258208,0
2.110667,-1.359413,0.552567,97,276,204,24.017483,1.912864,1
0.583080,4.767539,0.936480,122,40,111,61.076622,0.323714,1
19.756420,59.269261,0.322896,2,248,2,19.675917,1.937080,1
0.048837,0.073255,0.025631,57,247,135,3.721913,0.270086,0
0.245521,-0.435926,0.798336,272,21,107,15.500287,0.107631,1
0.457737,4.009143,0.846192,225,74,48,32.082155,1.623623,1
0.830652,65.621469,0.703091,78,111,2,23.672698,1.953815,0
0.012840,0.134364,0.074752,265,36,118,2.707998,0.200559,0
0.968730,-2.260369,0.190732,90,142,55,21.577749,0.064364,1
